,questions,answers,classes
0,I m not able to access my Bitrix24 account,"Go to https://cloudcounselage24.bitrix24.com/ On the Login page, In the, â€˜Enter the phone number or emailâ€™, type in your email id that you have registered with Cloud Counselage and Click â€˜Forgot Passwordâ€™. In case the problem persists, please write a mail to hrsupport@cloudcounselage.in",bittrix
1,What is the job profile? Will we be able to work only in the tech we have chosen for the internship?,"Your job profile is 'Technology - Intern'; if you're in cloud computing technology to update in your LinkedIn or resume, you can write as 'Cloud Computing - Intern'. Yes, you'll only work in the technology you're selected for but you can take the training of other technologies.",bittrix
2,How many workgroups will an intern be a part of,Every intern should be a part of 2 workgroups.,bittrix
3,Not able to access the LP1 page with my token or When I put my token it redirects me to the home page,Please watch the videos shared with the invite and you should not face any problems in accessing the training. Please follow the instructions shown in the them.,bittrix
4,Login issues with training,"You need to register for every module of training, if you still have issues post a comment or try using a different browser",bittrix
5,Tokens not working,"For each training of LP1, there are different tokens. Please read the tasks or watch the videos again meticulously. Try accessing it in incognito mode.",tokens
6,I'm not able to log in for the LP1 task,Ensure you're using the right token,tokens
7,Do I need to pass with the certificate in training,"No, but please ensure you complete the training",tokens
8,I am not able to see my tasks, Please remove the default 'In Progress' from your filter of the task section and try,tokens
9,What do we do in the work report,"As mentioned in the video, please write what you have done this week and request approval from your supervisor by clicking on 'send to supervisor'",tokens
10,I tried it 3-4 times and have to enter token each time I visit it,"We understand that it sometimes becomes tedious to access the training and we highly appreciate your support in making the training possible. We only do this for security reasons and we're trying to find a way to minimise the token use. For now, please note that in LP1 there are 3 types tokens:1. One for each technology, you're a part of.2. The lp1 home page.3. The 6 tokens (one for each step)",tokens
11,I just joined the group and I am not understanding what to do further. How do I start my internship,Please go through the mail from which you have accepted the invite and check the task section as well,tokens
12,What do I do after completing the quiz? how to complete the entire lp1,"There are tokens for each training in the task, if this learning path is done, please wait for the next learning path to begin and then please try to finish it. If you are done with LP3 please wait for Live Projects to begin",tokens
13,Do I need to register every time I do different tasks of lp1,"There are codes in the LP1 assignment, and each time you have to register also, please check your task description",tokens
14,"There are codes in the LP1 assignment, and each time you have to register also, please check your task description",Go back to the technology Page. Enter the respective tokens and then work. follow the same process every time,tokens
15,I am not getting results of the training,"They are just for your practice and not for our record, so you don't need the results of LP1 and LP2 training",quiz
16,Unable to access the quiz,Please retry after some time in an incognito window,quiz
17,What to do after completing LP1/ LP2/ LP3,Mark your task as finished and wait for the next instructions,quiz
18,Which Browser I should use,Google Chrome is recommended,general
19,Do we need to complete all the six steps within 14 hours as you mentioned that we have to complete all the 6 steps within 2 weeks so it becomes 14 hours,"It's preferred if you complete the LP1 training in 2 weeks but not mandatory. LP1, LP2, and LP3 are expected to be completed before the live projects start in July; but that doesn't mean you should give anything less than 1 hour a day or 7 hours a week towards the learning paths (LP)",general
20,"I had press finished button of LP1 task but want to resume the task, how to do that",You can go back to that task and then click on 'More' and then 'resume' to restart that task,general
21,The web pages on mobile are not showing properly,"They are purposefully only configured for Desktops/ Laptops. In an emergency, you can use the 'show as desktop' mode of your browser",general
22,"I have opted for a blockchain internship, can I also learn about AI and do an internship in both","You can learn both the technologies using Learning Path 2 (LP2) which will begin after the 2nd week of March, but your internship will only be continuing with the one you are selected for",general
23,Can I switch my technology now,"You cannot switch the technology currently. You have to continue with the one you are selected for. In the case of multiple form entries, you just got selected for one of them; the first one that you entered. You cannot make a switch right now",general
24,Can you help me by telling how can I get to know about my progress of LP 1,There is no metric to score your progress in any learning paths as it will be at a different pace for every individual,general
25,I am not able to view a page,"This could be because of some issue in the cookies or extension in your browser. Please try again with a different browser or open the tab with incognito mode. Also, you don't need to record your results, the quizzes are only for your knowledge check and not a metric to score you",general
26,I am having trouble finding the workgroup ,"Please ensure that you have connected to the drive of that workgroup by going to your notification and connecting to the drive of that workgroup. If that is done, please try to search for your workgroup in the search bar at the top of your screen",general
27,I am not added into my technology workgroup,"Please follow the instructions given in the videos or the one in the Bitrix24 mail, the tokens are given to you. Ensure that you are putting the right token on the right page.",general
28,When does the LP1/ LP2/ LP3 begin dates and deadline/ end date,The dates to begin the learning paths (LP) are: - LP1 - 01/03/2020  LP2 - 18/03/2020  LP3 - 02/04/2020. All learning Paths (LP) are expected to be completed by the interns before the first   week of June as Live Projects will begin in that time frame. ,general
29,What happens in LP2? What kind of training can we expect? Is it a Basic/Advance level,"The main focus of LP2 is to provide you with a basic foundation of the technology you're interested in. The training is also handpicked in such a way that they enable you to work on LP3 assignments which interim gives you the beginning to start your study for the selected technology and in no terms is the only/ final training you should look into. Please keep learning after your LP2 is complete, that is the only way to grow in your technology of choice",general
30,What happens in LP3?,LP3 will be assignment based and its execution and content vary from technology to technology. This assignment will be like a mini-project for all interns in a particular technology which will be verified by Cloud Counselage Project Managers,general
31,What to do after LP3,You'll be given preparatory leave (PL) from April to June after that your Live Projects will be given after the first week of June.,general
32,Can we skip any training if we are already clear with the basics,"No, these pieces of training will cover basics and there is no harm in brushing up your skills before you start with the assignments later",general
33,Is it ok to clock-out before an hour is completed if the tasks are completed? Do we need to clock-in and compulsorily complete 7 hours a week even if the tasks are completed,"If the tasks are completed, there is no need to clock-in and clock-out unnecessarily for hours. However, you should keep a track of all the updates of the internship being posted on the groups",general
34, Resource links not working. What to do,"Please do not skip any piece of training, in case you're not able to access any link please message to Cloud Counselage HR and drop an email to hrsupport@cloudcounselage.in regarding the same.",general
35,What to do when our university exams start,"We have provided our interns with preparatory leave from the exam season, nevertheless, you are free to work on your LP3 assignment, but we suggest to concentrate on your exams first",general
36,Is it okay to mention this internship as ongoing for college records,"Yes, we'll provide every intern a joining letter as soon as all interns are inducted.",general
37,Can we do another internship with IP,"Yes, you can do another internship outside of Cloud Counselage but please ensure to provide 1 hour a day or 7 hours a week for IP",general
